file_location,doi,title,authors,year,journal
https___openalex_org_W4385835038.txt,10.3390/su151612413,Microalgae as Biofertilizers: A Sustainable Way to Improve Soil Fertility and Plant Growth,"[""João Gonçalves"", ""Jorge Freitas"", ""Igor Fernandes"", ""Pedro Silva""]",2023,Sustainability
https___openalex_org_W4387186091.txt,10.3390/agronomy13102517,Systematic Review of Technology in Aeroponics: Introducing the Technology Adoption and Integration in Sustainable Agriculture Model,"[""Juan Garzón"", ""Juan Garzón"", ""Luis Montes"", ""Jorge Garzón"", ""Jorge Garzón"", ""Γεώργιος Λαμπρόπουλος""]",2023,Agronomy
https___openalex_org_W4321242146.txt,10.3390/en16041986,A Comprehensive Study on the Sustainable Transportation System in India and Lessons to Be Learned from Other Developing Nations,"[""Subhashree Mohapatra"", ""Dileep Kumar M."", ""Gaurav Dwivedi"", ""Sujeet Kesharvani"", ""V. S. K. V. Harish"", ""Shrey Verma"", ""Puneet Verma""]",2023,Energies
https___openalex_org_W3205863306.txt,10.3390/su132011419,How Entrepreneurship Sustains Barriers in the Entrepreneurial Process—A Lesson from a Developing Nation,"[""Muhammad Nawaz Tunio"", ""Mushtaque Ali Jariko"", ""Tom Børsen"", ""Sadia Shaikh"", ""Tania Mushtaque"", ""Mohsen Brahmi""]",2021,Sustainability
https___openalex_org_W3160671349.txt,10.1038/s41467-021-23073-4,Health and sustainability of glaciers in High Mountain Asia,"[""Evan Miles"", ""Michael McCarthy"", ""Amaury Dehecq"", ""Marin Kneib"", ""Stefan Fugger"", ""Francesca Pellicciotti""]",2021,Nature Communications
pmc_PMC5384196.txt,10.1038/srep46195,Klotho preservation via histone deacetylase inhibition attenuates chronic kidney disease-associated bone injury in mice,"[""Wenjun Lin"", ""Yanning Li"", ""Fang chen"", ""Shasha Yin"", ""Zhihong Liu"", ""Wangsen Cao""]",2017,Scientific Reports
pmc_PMC9888725.txt,10.1371/journal.pgen.1010595,Hepatic ribosomal protein S6 (Rps6) insufficiency results in failed bile duct development and loss of hepatocyte viability; a ribosomopathy-like phenotype that is partially p53-dependent,"[""Sarah A. Comerford"", ""Elizabeth A. Hinnant"", ""Yidong Chen"", ""Robert E. Hammer""]",2023,PLOS Genetics
https___openalex_org_W4229003211.txt,10.1016/j.spc.2022.05.003,Circular economy disclosure in corporate sustainability reports: The case of European companies in sustainability rankings,"[""Katelin Opferkuch"", ""Sandra Caeiro"", ""Roberta Salomone"", ""Tomás B. Ramos""]",2022,Sustainable Production and Consumption
https___openalex_org_W4390767981.txt,10.1016/j.nxmate.2024.100107,Graphene-based materials: Unravelling its impact in wastewater treatment for sustainable environments,"[""K Iqbal Rana"", ""Harjot Kaur"", ""Nirankar Singh"", ""Thandiwe Sithole"", ""Samarjeet Singh Siwal""]",2024,Next Materials
https___openalex_org_W4406112179.txt,10.1002/adma.202413096,A Bio‐Inspired Perspective on Materials Sustainability,"[""Wolfgang Wagermaier"", ""Khashayar Razghandi"", ""Peter Fratzl""]",2025,Advanced Materials
https___openalex_org_W3162405902.txt,10.1016/j.ibusrev.2021.101857,Global value chains and the environmental sustainability of emerging market firms: A systematic review of literature and research agenda,"[""İsmail Gölgeci̇"", ""Dilshod Makhmadshoev"", ""Mehmet Demirbağ""]",2021,International Business Review
https___openalex_org_W3198101434.txt,10.3390/biom11091330,The Effect of Drug Heterogeneous Distributions within Core-Sheath Nanostructures on Its Sustained Release Profiles,"[""Haixia Xu"", ""Xizi Xu"", ""Siyu Li"", ""Wenliang Song"", ""Deng‐Guang Yu"", ""S. W. Annie Bligh""]",2021,Biomolecules
https___openalex_org_W4200610860.txt,10.1007/s10668-021-02011-w,Sustainable development and national cultures: a quantitative and qualitative analysis of the research field,"[""Katarzyna Piwowar‐Sulej""]",2021,Environment Development and Sustainability
https___openalex_org_W3182760100.txt,10.1051/shsconf/202111501001,Digital Transformation in the Context of the European Union and the Use of Digital Technologies as a Tool for Business Sustainability,"[""Diana Bednarčíková"", ""Radka Repiská""]",2021,SHS Web of Conferences
https___openalex_org_W4224069138.txt,10.1080/01446193.2022.2027485,Sustainable building renovation in residential buildings: barriers and potential motivations in Norwegian culture,"[""Mina Jowkar"", ""Alenka Temeljotov Salaj"", ""Carmel Lindkvist"", ""Marit Støre-Valen""]",2022,Construction Management and Economics
https___openalex_org_W3194264306.txt,10.3390/su13169222,"Telework, Hybrid Work and the United Nation’s Sustainable Development Goals: Towards Policy Coherence","[""Magnus Moglia"", ""John Hopkins"", ""Anne Bardoel""]",2021,Sustainability
https___openalex_org_W4311111625.txt,10.3390/suschem3040032,The Role of Pozzolanic Activity of Siliceous Fly Ash in the Formation of the Structure of Sustainable Cementitious Composites,"[""Grzegorz Ludwik Golewski""]",2022,Sustainable Chemistry
https___openalex_org_W3127949956.txt,10.3390/su13031585,Demarketing Tourism for Sustainability: Degrowing Tourism or Moving the Deckchairs on the Titanic?,"[""C. Michael Hall"", ""Krystle Moody Wood""]",2021,Sustainability
https___openalex_org_W4401414381.txt,10.1016/j.enconman.2024.118884,Advancements in sustainable biodiesel production: A comprehensive review of bio-waste derived catalysts,"[""Neha Anil"", ""Piyush K. Rao"", ""Ankita Sarkar"", ""Jasmin Kubavat"", ""S. Vadivel"", ""Nilesh R. Manwar"", ""Bappi Paul""]",2024,Energy Conversion and Management
https___openalex_org_W4206484541.txt,10.3390/ijerph19020921,Employee Voice: A Mechanism to Harness Employees’ Potential for Sustainable Success,"[""Hengwei Zhu"", ""Muhammad Kamran Khan"", ""Shakira Nazeer"", ""Li Li"", ""Qinghua Fu"", ""Daniel Bădulescu"", ""Alina Bădulescu""]",2022,International Journal of Environmental Research and Public Health
https___openalex_org_W3129389694.txt,10.1002/bse.2748,"Environmental performance, sustainability, governance and financial performance: Evidence from heavily polluting industries in China","[""Thi Hong Hanh Nguyen"", ""Mohamed Elmagrhi"", ""Collins G. Ntim"", ""Yue Wu""]",2021,Business Strategy and the Environment
https___openalex_org_W4200218924.txt,10.1177/14749041211056443,Museum education and sustainable development: A public pedagogy,"[""Petra Hansson"", ""Johan Öhman""]",2021,European Educational Research Journal
pmc_PMC5385016.txt,10.1186/s13756-017-0189-9,Barriers and facilitators to infection control at a hospital in northern India: a qualitative study,"[""Anna K. Barker"", ""Kelli Brown"", ""Dawd Siraj"", ""Muneeb Ahsan"", ""Sharmila Sengupta"", ""Nasia Safdar""]",2017,Antimicrobial Resistance and Infection Control
pmc_PMC10142101.txt,10.3390/s23084034,A Miniaturized 3D-Printed Quartz-Enhanced Photoacoustic Spectroscopy Sensor for Methane Detection with a High-Power Diode Laser,"[""Yanjun Chen"", ""Tiantian Liang"", ""Shunda Qiao"", ""Yufei Ma""]",2023,"Sensors (Basel, Switzerland)"
pmc_PMC9805823.txt,10.1136/bmjoq-2022-001916,Patient and family perceptions of the provision of medicines as part of virtual outpatient consultations for children during COVID-19 pandemic,"[""Sukeshi Makhecha"", ""Linda Eftychiou"", ""Victoria Tsang"", ""Venessa Vas"", ""Nanna Christiansen"", ""Joanne Crook"", ""Siân Bentley""]",2022,BMJ Open Quality
https___openalex_org_W3205097809.txt,10.1016/j.matdes.2021.110158,4D printing of continuous flax-fibre based shape-changing hygromorph biocomposites: Towards sustainable metamaterials,"[""Antoine Le Duigou"", ""Thomas Fruleux"", ""Ryosuke Matsuzaki"", ""G. Chabaud"", ""Masahito Ueda"", ""Mickaël Castro""]",2021,Materials & Design
pmc_PMC9890215.txt,10.1093/ibd/izac201,Assessing Cellular and Transcriptional Diversity of Ileal Mucosa Among Treatment-Naïve and Treated Crohn’s Disease,"[""Sushma Chowdary Maddipatla"", ""Vasantha L Kolachala"", ""Suresh Venkateswaran"", ""Anne F Dodd"", ""Ranjit Singh Pelia"", ""Duke Geem"", ""Hong Yin"", ""Yutong Sun"", ""Congmin Xu"", ""Angela Mo"", ""Astrid Kosters"", ""Junkai Yang"", ""Jason D Matthews"", ""Eliver Ghosn"", ""Subra Kugathasan"", ""Peng Qiu""]",2023,Inflammatory Bowel Diseases
pmc_PMC4176744.txt,10.1186/1754-6834-6-173,Techno-economic potential of bioethanol from bamboo in China,"[""Jade Littlewood"", ""Lei Wang"", ""Colin Turnbull"", ""Richard J Murphy""]",2013,Biotechnology for Biofuels
https___openalex_org_W4383313091.txt,10.1016/j.annals.2023.103613,Reassembling more-than-human sustainability: Relations with snow,"[""Monica Nadegger""]",2023,Annals of Tourism Research
https___openalex_org_W4307982813.txt,10.1021/acs.jmedchem.2c01218,A Versatile and Sustainable Multicomponent Platform for the Synthesis of Protein Degraders: Proof-of-Concept Application to BRD4-Degrading PROTACs,"[""Irene Preet Bhela"", ""Alice Ranza"", ""Federica Carolina Balestrero"", ""M. Teresa Serafini"", ""Silvio Aprile"", ""Rita Maria Concetta Di Martino"", ""Fabrizio Condorelli"", ""Tracey Pirali""]",2022,Journal of Medicinal Chemistry
pmc_PMC9891020.txt,10.4103/ijstd.ijstd_50_21,Case report of co-existing keratotic balanitis and squamous cell carcinoma in a 42-year-old male,"[""Neerja Puri"", ""Onkar Singh"", ""Balvinder Kaur Brar""]",2022,Indian Journal of Sexually Transmitted Diseases and AIDS
pmc_PMC9448693.txt,10.1007/s00395-022-00951-6,Forebrain corticosteroid receptors promote post-myocardial infarction depression and mortality,"[""Bastian Bruns"", ""Ricarda Daub"", ""Thomas Schmitz"", ""Maria Hamze-Sinno"", ""Sebastian Spaich"", ""Matthias Dewenter"", ""Chrysovalandis Schwale"", ""Peter Gass"", ""Miriam Vogt"", ""Hugo Katus"", ""Wolfgang Herzog"", ""Hans-Christoph Friederich"", ""Norbert Frey"", ""Jobst-Hendrik Schultz"", ""Johannes Backs""]",2022,Basic Research in Cardiology
pmc_PMC10142027.txt,10.3390/molecules28083589,Preparation and Anti-Lung Cancer Activity Analysis of Guaiacyl-Type Dehydrogenation Polymer,"[""Junyi Zhou"", ""Yuanyuan Yue"", ""Xin Wei"", ""Yimin Xie""]",2023,Molecules
https___openalex_org_W4396740796.txt,10.52783/jes.3360,The Role of Local Community in Enhancing Sustainable Community Based Tourism,"[""Krishna Prasad Sapkota""]",2024,Journal of Electrical Systems
https___openalex_org_W3161143857.txt,10.3390/su13095038,Factors for Sustainable Online Learning in Higher Education during the COVID-19 Pandemic,"[""Amanda M. Y. Chu"", ""Connie Liu"", ""Mike K. P. So"", ""Benson S. Y. Lam""]",2021,Sustainability
https___openalex_org_W4292359939.txt,10.3390/su14159650,What Does Sustainability Mean? Perceptions of Future Professionals across Disciplines,"[""A. D’Amico"", ""José María Aulicino"", ""Jorgelina Di Pasquale""]",2022,Sustainability
https___openalex_org_W3133494002.txt,10.3390/su13052670,Industry 4.0 Accelerating Sustainable Manufacturing in the COVID-19 Era: Assessing the Readiness and Responsiveness of Italian Regions,"[""Dominique Lepore"", ""Alessandra Micozzi"", ""Francesca Spigarelli""]",2021,Sustainability
pmc_PMC9805989.txt,10.1177/01455613221143859,Manifestations of Mucormycosis and Its Complications in COVID-19 Patients: A Case Series Study,"[""Mohammadsmaeil Kordjazi"", ""Narges Bazgir"", ""Kourosh Eftekharian"", ""Mostafa Farajpour"", ""Nader Akbari Dilmaghani""]",2022,"Ear, Nose, & Throat Journal"
pmc_PMC10364690.txt,10.1093/bjs/znab460,Increasing frequency of gene copy number aberrations is associated with immunosuppression and predicts poor prognosis in gastric adenocarcinoma,"[""Arnaldo N. S. Silva"", ""Yuichi Saito"", ""Takaki Yoshikawa"", ""Takashi Oshima"", ""Jeremy D. Hayden"", ""Jan Oosting"", ""Sophie Earle"", ""Lindsay C. Hewitt"", ""Hayley L. Slaney"", ""Alex Wright"", ""Imran Inam"", ""Ruth E. Langley"", ""William Allum"", ""Matthew G. Nankivell"", ""Gordon Hutchins"", ""David Cunningham"", ""Heike I. Grabsch""]",2022,The British Journal of Surgery
https___openalex_org_W4319730029.txt,10.1108/md-03-2021-0400,Sustainable supply chain clusters: an integrated framework,"[""Mahmoud Barakat"", ""Nicoleta S. Tipi"", ""Jialin Wu""]",2023,Management Decision
pmc_PMC5298699.txt,10.3390/s17010126,A Distance Detector with a Strip Magnetic MOSFET and Readout Circuit,"[""Guo-Ming Sung"", ""Wen-Sheng Lin"", ""Hsing-Kuang Wang""]",2017,"Sensors (Basel, Switzerland)"
https___openalex_org_W4376473096.txt,10.1039/d3gc00565h,Renewable lignin and its macromolecule derivatives: an emerging platform toward sustainable electrochemical energy storage,"[""Xueru Yang"", ""Yufei Zhang"", ""Minghui Ye"", ""Yongchao Tang"", ""Zhipeng Wen"", ""Xiaoqing Liu"", ""Cheng Chao Li""]",2023,Green Chemistry
https___openalex_org_W4386268572.txt,10.1016/j.clscn.2023.100118,Sustainable procurement implementation among public sector organisations in Ghana: The role of institutional isomorphism and sustainable leadership,"[""Dominic Jacob Nsiah-Sarfo"", ""Daniel Ofori"", ""Daniel Agyapong""]",2023,Cleaner Logistics and Supply Chain
https___openalex_org_W4286252249.txt,10.1016/j.nexus.2022.100121,Sustainable approach to manage solid waste through biochar assisted composting,"[""Sudhanshu Behera"", ""Kundan Samal""]",2022,Energy Nexus
pmc_PMC9968014.txt,10.3390/pharmaceutics15020483,Exploration of Nanosilver Calcium Alginate-Based Multifunctional Polymer Wafers for Wound Healing,"[""Ernest Man"", ""Claire Easdon"", ""Iain McLellan"", ""Humphrey H. P. Yiu"", ""Clare Hoskins""]",2023,Pharmaceutics
https___openalex_org_W3201557242.txt,10.1073/pnas.2106576118,A steady-state N balance approach for sustainable smallholder farming,"[""Yulong Yin"", ""Rongfang Zhao"", ""Yi Yang"", ""Qingfeng Meng"", ""Hao Ying"", ""Kenneth G. Cassman"", ""Wen‐Feng Cong"", ""Xingshuai Tian"", ""Kai He"", ""Yingcheng Wang"", ""Zhenling Cui"", ""Xinping Chen"", ""Fusuo Zhang""]",2021,Proceedings of the National Academy of Sciences
https___openalex_org_W3138038515.txt,10.1007/s12525-021-00466-3,Designing business model development tools for sustainability—a design science study,"[""Thorsten Schoormann"", ""Maren Stadtländer"", ""Ralf Knackstedt""]",2021,Electronic Markets
https___openalex_org_W3149639919.txt,10.3390/su13063547,Soil Erosion and Sediment Load Management Strategies for Sustainable Irrigation in Arid Regions,"[""Muhammad Tousif Bhatti"", ""Muhammad Ashraf"", ""Arif A. Anwar""]",2021,Sustainability
https___openalex_org_W4309668086.txt,10.1016/j.scitotenv.2022.160303,Using Machine Learning to make nanomaterials sustainable,"[""Janeck J. Scott‐Fordsmand"", ""Mónica J.B. Amorim""]",2022,The Science of The Total Environment
pmc_PMC10313871.txt,10.1016/j.crneur.2023.100083,Are musical activities associated with enhanced speech perception in noise in adults? A systematic review and meta-analysis,"[""Elisabeth Maillard"", ""Marilyne Joyal"", ""Micah M. Murray"", ""Pascale Tremblay""]",2023,Current Research in Neurobiology
https___openalex_org_W4385320121.txt,10.3390/machines11080774,Sustainable Crop Protection via Robotics and Artificial Intelligence Solutions,"[""Vasiliki Balaska"", ""Zoe Adamidou"", ""Zisis Vryzas"", ""Αντώνιος Γαστεράτος""]",2023,Machines
https___openalex_org_W4389202182.txt,10.3390/su152316434,Eye-Tracking Studies on Sustainable Food Consumption: A Systematic Literature Review,"[""Tonia Ruppenthal""]",2023,Sustainability
pmc_PMC4167315.txt,10.4137/jcnsd.s13767,Increased Epidermal Growth Factor Receptor (EGFR) Associated with Hepatocyte Growth Factor (HGF) and Symptom Severity in Children with Autism Spectrum Disorders (ASDs),"[""Anthony J Russo""]",2014,Journal of Central Nervous System Disease
https___openalex_org_W4403089826.txt,10.15353/rea.v14i2.5005,Are ESG Female? The Hidden Benefits of Female Presence on Sustainable Finance,"[""Constanza Bosone"", ""Stefania Maria Bogliardi"", ""Paolo Giudici""]",2022,Review of Economic Analysis
https___openalex_org_W3200781220.txt,10.1038/s41598-021-98179-2,Sustainable intensification of maize and wheat cropping system through pulse intercropping,"[""S. C. Tripathi"", ""Karnam Venkatesh"", ""Raj Pal Meena"", ""Subhash Chander"", ""Gyanendra Pratap Singh""]",2021,Scientific Reports
https___openalex_org_W4321373806.txt,10.3390/land12020508,Sustainable Development of Rural Areas in Poland since 2004 in the Light of Sustainability Indicators,"[""Marcin K. Widomski"", ""Anna Musz-Pomorska""]",2023,Land
https___openalex_org_W4389640336.txt,10.1002/bse.3642,"Green HRM practices, employee well‐being, and sustainable work behavior: Examining the moderating role of resource commitment","[""Michael Asiedu Gyensare"", ""Samuel Adomako"", ""Joseph Amankwah‐Amoah""]",2023,Business Strategy and the Environment
https___openalex_org_W4320012167.txt,10.1111/sum.12883,Sustainable soil management for food security,"[""Deyi Hou""]",2023,Soil Use and Management
https___openalex_org_W4220876386.txt,10.1007/s13201-021-01562-7,Management of risks substances and sustainable development,"[""Kaveh Ostad‐Ali‐Askari""]",2022,Applied Water Science
https___openalex_org_W4399570589.txt,10.30574/gjeta.2024.19.3.0099,The crucial role of renewable energy in achieving the sustainable development goals for cleaner energy,"[""Olubunmi Bashiru"", ""Chidi Ochem"", ""Lawrence Anebi Enyejo"", ""Helena Nbéu Nkula Manuel"", ""Tola Ojemai Adeoye""]",2024,Global Journal of Engineering and Technology Advances
pmc_PMC9971209.txt,10.1038/s41598-023-30414-4,Investigation on CMB monopole and dipole using blackbody radiation inversion,"[""Somita Dhal"", ""R. K. Paul""]",2023,Scientific Reports
pmc_PMC3167100.txt,10.7150/ijms.8.510,A Case Report on Eosinophilic Meningitis Caused by Angiostrongylus cantonensis,"[""Jingyao Liu"", ""Jiguo Gao"", ""Chunkui Zhou""]",2011,International Journal of Medical Sciences
https___openalex_org_W4388943038.txt,10.48130/emst-2023-0017,Sustainable fire safety solutions: bioactive natural polysaccharides and secondary metabolites as innovative fire retardants for textiles,"[""Manoj Kumar"", ""Mrunal D. Barbhai""]",2023,Emergency Management Science and Technology
https___openalex_org_W4393320533.txt,10.1002/jtr.2643,Four decades of sustainable tourism research: Trends and future research directions,"[""Reeti Agarwal"", ""Ankit Mehrotra"", ""Anubhav Mishra"", ""Nripendra P. Rana"", ""Robin Nunkoo"", ""Meehee Cho""]",2024,International Journal of Tourism Research
https___openalex_org_W3205834710.txt,10.3390/ijerph182010865,"Environmental, Social, Governance Risk and Corporate Sustainable Growth Nexus: Quantile Regression Approach","[""Xiaodong Teng"", ""Yanzhi Wang"", ""Aiguo Wang"", ""Bao‐Guang Chang"", ""Kun‐Shan Wu""]",2021,International Journal of Environmental Research and Public Health
https___openalex_org_W4402964342.txt,10.3390/su16198480,The Impact of Technological Innovations on Agricultural Productivity and Environmental Sustainability in China,"[""Weilun Huang"", ""Xucheng Wang""]",2024,Sustainability
https___openalex_org_W4388802322.txt,10.1016/j.heliyon.2023.e22496,RETRACTED: Green production and green technology for sustainability: The mediating role of waste reduction and energy use,"[""Changlin Li"", ""Sayed Fayaz Ahmad"", ""Ahmad Y. A. Bani Ahmad"", ""Muhammad Irshad"", ""Ahmad A. Telba"", ""Emad Mahrous Awwad"", ""Muhammad Imran Majid""]",2023,Heliyon
https___openalex_org_W3200049335.txt,10.1016/j.jmrt.2021.08.139,A current advancement on the role of lignin as sustainable reinforcement material in biopolymeric blends,"[""Mariana Mariana"", ""Tata Alfatah"", ""H. P. S. Abdul Khalil"", ""Esam Bashir Yahya"", ""N. G. Olaiya"", ""Arif Nuryawan"", ""Eka Marya Mistar"", ""C. K. Abdullah"", ""Syahrun Nur Abdulmadjid"", ""H. Ismail""]",2021,Journal of Materials Research and Technology
https___openalex_org_W4321331570.txt,10.1002/bse.3379,How does transparency into global sustainability initiatives influence firm value? Insights from Anglo‐American countries,"[""Ali Meftah Gerged"", ""Rami Salem"", ""Eshani Beddewela""]",2023,Business Strategy and the Environment
https___openalex_org_W4323362686.txt,10.1016/j.envc.2023.100705,Paradigm shifts for sustainable management of water hyacinth in tropical ecosystems: A review and overview of current challenges,"[""Metogbe Belfrid Djihouessi"", ""Mark Olokotum"", ""Louis Claude Chabi"", ""Fohla Mouftaou"", ""Martin Pépin Aïna""]",2023,Environmental Challenges
https___openalex_org_W3169065233.txt,10.2147/dmso.s304751,A Compendium of Perspectives on Diabetes: A Challenge for Sustainable Health in the Modern Era,"[""Amit Kumar Verma"", ""Yamini Goyal"", ""Deepti Bhatt"", ""Kapil Dev"", ""Mohammed A. Alsahli"", ""Arshad Husain Rahmani"", ""Ahmad Almatroudi""]",2021,Diabetes Metabolic Syndrome and Obesity
pmc_PMC9889689.txt,10.1111/jdi.13933,Clinical signs of type 1 diabetes are associated with type 2 diabetes marker transcription factor 7‐like 2 polymorphism,"[""Efe Ergür"", ""Ege Ergür"", ""Kristi Alnek"", ""Kaja Metsküla"", ""Aleksandr Peet"", ""Maire Lubi"", ""Kaire Heilman"", ""Raivo Uibo""]",2022,Journal of Diabetes Investigation
https___openalex_org_W4392927660.txt,10.3390/agronomy14030609,"Enhancing Soil Health and Plant Growth through Microbial Fertilizers: Mechanisms, Benefits, and Sustainable Agricultural Practices","[""Xinpei Wei"", ""Benkang Xie"", ""Chu Wan"", ""Renfeng Song"", ""Wanru Zhong"", ""Shuquan Xin"", ""Kai Song""]",2024,Agronomy
pmc_PMC10045690.txt,10.3201/eid2904.220778,Global Veterinary Diagnostic Laboratory Equipment Management and Sustainability and Implications for Pandemic Preparedness Priorities 1,"[""Jennifer N. Lasley"", ""Emmanuel O. Appiah"", ""Kazunobu Kojima"", ""Stuart D. Blacksell""]",2023,Emerging Infectious Diseases
https___openalex_org_W3127319254.txt,10.1007/s42452-021-04301-4,Phytoremediation: a sustainable environmental technology for heavy metals decontamination,"[""Bouzid Nedjimi""]",2021,SN Applied Sciences
https___openalex_org_W3180807134.txt,10.3390/su13137327,"Cloud Manufacturing, Internet of Things-Assisted Manufacturing and 3D Printing Technology: Reliable Tools for Sustainable Construction","[""Rajesh Singh"", ""Anita Gehlot"", ""Shaik Vaseem Akram"", ""Lovi Raj Gupta"", ""Manoj Kumar Jena"", ""Chander Prakash"", ""Sunpreet Singh"", ""Raman Kumar""]",2021,Sustainability
https___openalex_org_W4221009406.txt,10.19040/ecocycles.v8i1.220,Towards climate smart agriculture : How does innovation meet sustainability?,"[""Katalin Takács‐György"", ""István Takács""]",2022,Ecocycles
https___openalex_org_W4200442080.txt,10.1016/j.annals.2021.103329,Habit drives sustainable tourist behaviour,"[""Sarah MacInnes"", ""Bettina Grün"", ""Sara Dolničar""]",2021,Annals of Tourism Research
https___openalex_org_W4377861392.txt,10.48264/vvsiev-20233203,Measuring and evaluating urban sustainability,"[""Beatrice Mecca"", ""Marika Gaballo"", ""Elena Todella""]",2023,Valori e Valutazioni
https___openalex_org_W4292871220.txt,10.3390/su141710514,Individual Low-Cost Travel as a Route to Tourism Sustainability,"[""Bogdan Włodarczyk"", ""Waldemar Cudny""]",2022,Sustainability
pmc_PMC9996269.txt,10.5713/ab.22.0151,Development of a lateral flow dipstick test for the detection of 4 strains of Salmonella spp. in animal products and animal production environmental samples based on loop-mediated isothermal amplification,"[""Wirawan Nuchchanart"", ""Prapasiri Pikoolkhao"", ""Chalermkiat Saengthongpinit""]",2023,Animal Bioscience
pmc_PMC10061749.txt,10.1186/s12870-023-04180-4,Genome-wide identification and expression analysis of DREB family genes in cotton,"[""Jiuchang Su"", ""Shanglin Song"", ""Yiting Wang"", ""Yunpeng Zeng"", ""Tianyu Dong"", ""Xiaoyang Ge"", ""Hongying Duan""]",2023,BMC Plant Biology
https___openalex_org_W4407597486.txt,10.1016/j.rineng.2025.104349,Explainable artificial intelligence for sustainable urban water systems engineering,"[""Shofia Saghya Infant"", ""Sundaram Vickram"", ""A. Saravanan"", ""C M Mathan Muthu"", ""D Yuarajan""]",2025,Results in Engineering
https___openalex_org_W4281734932.txt,10.1088/1748-9326/ac77a5,Accounting for socioeconomic constraints in sustainable irrigation expansion assessments,"[""Nicole van Maanen"", ""Marina Andrijevic"", ""Quentin Lejeune"", ""Lorenzo Rosa"", ""Tabea Lissner"", ""Carl‐Friedrich Schleussner""]",2022,Environmental Research Letters
https___openalex_org_W3127601633.txt,10.1016/j.apsoil.2021.103921,Biodegradable mulching vs traditional polyethylene film for sustainable solarization: Chemical properties and microbial community response to soil management,"[""Ida Di Mola"", ""Valeria Ventorino"", ""Eugenio Cozzolino"", ""Lucia Ottaiano"", ""Ida Romano"", ""Luigi Giuseppe Duri"", ""Olimpia Pepe"", ""Mauro Mori""]",2021,Applied Soil Ecology
pmc_PMC10065769.txt,10.5935/1518-0557.20210120,Three successful births after three consecutive embryo transfers,"[""Claudio Barros Leal Ribeiro"", ""Eduardo Alves Moreira"", ""Paulo Matheus"", ""Lúcia Helena Torres Amorim"", ""Agostinho de Sousa Machado Júnior""]",2023,JBRA Assisted Reproduction
https___openalex_org_W3170502880.txt,10.3389/fmicb.2021.669404,Rhizobial–Host Interactions and Symbiotic Nitrogen Fixation in Legume Crops Toward Agriculture Sustainability,"[""Ravinder K. Goyal"", ""Autar K. Mattoo"", ""Maria Augusta Schmidt""]",2021,Frontiers in Microbiology
